numeroDoc,idDeputado,nomeDeputado,tipo_despesa,fornecedor,valor,data
315,204379,Acácio Favacho,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,I. RODRIGUES DE ALMEIDA,25000.0,2023-03-14T00:00:00
7526639,204379,Acácio Favacho,TELEFONIA,CELULAR FUNCIONAL,353.7,2023-02-15T00:00:00
7526961,204379,Acácio Favacho,TELEFONIA,CELULAR FUNCIONAL,116.43,2023-02-14T00:00:00
202300000000280,204379,Acácio Favacho,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,E VIEGAS FERREIRA LTDA,10000.0,2023-02-02T00:00:00
42,204379,Acácio Favacho,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,EDVALDO FRANCISCO DE OLIVEIRA 49191160120,809.6,2023-03-28T00:00:00
298420,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,221.98,2023-02-23T00:00:00
299904,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,283.97,2023-02-28T00:00:00
306504,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,299.98,2023-03-20T00:00:00
325363,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,100.04,2023-05-31T00:00:00
333570,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,150.0,2023-07-05T00:00:00
338996,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,200.0,2023-08-02T00:00:00
344543,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,330.03,2023-08-26T00:00:00
346147,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,200.0,2023-09-02T00:00:00
347409,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,250.2,2023-09-08T00:00:00
348293,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,262.99,2023-09-13T00:00:00
348584,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,150.0,2023-09-14T00:00:00
349238,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,367.31,2023-09-18T00:00:00
265903,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,413.35,2023-10-30T00:00:00
291863,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,072 - 403 SUL - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,300.03,2023-05-25T00:00:00
304542,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,072 - 403 SUL - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,324.56,2023-07-04T00:00:00
264354,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,3.D. AUTO POSTO LTDA,250.32,2023-09-09T00:00:00
83514,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,AUTO POSTO 302 SUL LTDA,275.86,2023-06-22T00:00:00
246647,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,AUTO POSTO 303 NORTE LTDA,280.37,2023-05-31T00:00:00
248053,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,AUTO POSTO 303 NORTE LTDA,300.0,2023-06-05T00:00:00
254817,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,AUTO POSTO 303 NORTE LTDA,199.55,2023-06-28T00:00:00
258406,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,AUTO POSTO 303 NORTE LTDA,250.0,2023-07-11T00:00:00
258913,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,AUTO POSTO 303 NORTE LTDA,280.05,2023-07-13T00:00:00
263302,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,AUTO POSTO 303 NORTE LTDA,300.06,2023-08-01T00:00:00
264369,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,AUTO POSTO 303 NORTE LTDA,250.8,2023-08-04T00:00:00
265236,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,AUTO POSTO 303 NORTE LTDA,270.01,2023-08-08T00:00:00
265917,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,AUTO POSTO 303 NORTE LTDA,300.07,2023-08-10T00:00:00
267160,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,AUTO POSTO 303 NORTE LTDA,298.96,2023-08-15T00:00:00
267857,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,AUTO POSTO 303 NORTE LTDA,315.85,2023-08-17T00:00:00
269549,204379,Acácio Favacho,COMBUSTÍVEIS E LUBRIFICANTES.,AUTO POSTO 303 NORTE LTDA,150.0,2023-08-22T00:00:00
