id_deputado,nome_deputado,siglaPartido,siglaUf,idLegislatura,email
220593,Abilio Brunini,PL,MT,57,
204379,Acácio Favacho,MDB,AP,57,dep.acaciofavacho@camara.leg.br
220714,Adail Filho,REPUBLICANOS,AM,57,dep.adailfilho@camara.leg.br
221328,Adilson Barroso,PL,SP,57,dep.adilsonbarroso@camara.leg.br
204560,Adolfo Viana,PSDB,BA,57,dep.adolfoviana@camara.leg.br
204528,Adriana Ventura,NOVO,SP,57,dep.adrianaventura@camara.leg.br
121948,Adriano do Baldy,PP,GO,57,dep.adrianodobaldy@camara.leg.br
74646,Aécio Neves,PSDB,MG,57,dep.aecioneves@camara.leg.br
160508,Afonso Florence,PT,BA,57,
136811,Afonso Hamm,PP,RS,57,dep.afonsohamm@camara.leg.br
178835,Afonso Motta,PDT,RS,57,dep.afonsomotta@camara.leg.br
160527,Aguinaldo Ribeiro,PP,PB,57,dep.aguinaldoribeiro@camara.leg.br
204495,Airton Faleiro,PT,PA,57,dep.airtonfaleiro@camara.leg.br
204549,AJ Albuquerque,PP,CE,57,dep.ajalbuquerque@camara.leg.br
73579,Alberto Fraga,PL,DF,57,dep.albertofraga@camara.leg.br
74696,Alberto Mourão,MDB,SP,57,
220538,Albuquerque,REPUBLICANOS,RR,57,dep.albuquerque@camara.leg.br
160559,Alceu Moreira,MDB,RS,57,dep.alceumoreira@camara.leg.br
204501,Alencar Santana,PT,SP,57,dep.alencarsantana@camara.leg.br
178972,Alex Manente,CIDADANIA,SP,57,dep.alexmanente@camara.leg.br
204571,Alex Santana,REPUBLICANOS,BA,57,dep.alexsantana@camara.leg.br
220542,Alexandre Guimarães,REPUBLICANOS,TO,57,dep.alexandreguimaraes@camara.leg.br
220542,Alexandre Guimarães,MDB,TO,57,dep.alexandreguimaraes@camara.leg.br
160545,Alexandre Leite,UNIÃO,SP,57,
220554,Alexandre Lindenmeyer,PT,RS,57,dep.alexandrelindenmeyer@camara.leg.br
204503,Alexandre Padilha,PT,SP,57,
221148,Alfredinho,PT,SP,57,dep.alfredinho@camara.leg.br
220576,Alfredo Gaspar,UNIÃO,AL,57,dep.alfredogaspar@camara.leg.br
74057,Alice Portugal,PCdoB,BA,57,dep.aliceportugal@camara.leg.br
178927,Aliel Machado,PV,PR,57,dep.alielmachado@camara.leg.br
226708,Allan Garcês,PP,MA,57,dep.allangarces@camara.leg.br
178937,Altineu Côrtes,PL,RJ,57,dep.altineucortes@camara.leg.br
178881,Aluisio Mendes,PSC,MA,57,dep.aluisiomendes@camara.leg.br
178881,Aluisio Mendes,REPUBLICANOS,MA,57,dep.aluisiomendes@camara.leg.br
220596,Amália Barros,PL,MT,57,
220707,Amanda Gentil,PP,MA,57,dep.amandagentil@camara.leg.br
204356,Amaro Neto,REPUBLICANOS,ES,57,dep.amaroneto@camara.leg.br
220715,Amom Mandel,CIDADANIA,AM,57,dep.amommandel@camara.leg.br
107970,Ana Paula Leão,PP,MG,57,dep.anapaulaleao@camara.leg.br
220556,Ana Paula Lima,PT,SC,57,dep.anapaulalima@camara.leg.br
220632,Ana Pimentel,PT,MG,57,dep.anapimentel@camara.leg.br
220657,André Fernandes,PL,CE,57,dep.andrefernandes@camara.leg.br
204423,André Ferreira,PL,PE,57,dep.andreferreira@camara.leg.br
133439,André Figueiredo,PDT,CE,57,dep.andrefigueiredo@camara.leg.br
178882,André Fufuca,PP,MA,57,
204515,André Janones,AVANTE,MG,57,dep.andrejanones@camara.leg.br
220676,Andreia Siqueira,MDB,PA,57,dep.andreiasiqueira@camara.leg.br
123756,Antônia Lúcia,REPUBLICANOS,AC,57,dep.antonialucia@camara.leg.br
220544,Antonio Andrade,REPUBLICANOS,TO,57,dep.antonioandrade@camara.leg.br
160553,Antonio Brito,PSD,BA,57,dep.antoniobrito@camara.leg.br
220638,Antonio Carlos Rodrigues,PL,SP,57,dep.antoniocarlosrodrigues@camara.leg.br
220675,Antônio Doido,MDB,PA,57,dep.antoniodoido@camara.leg.br
220549,Any Ortiz,CIDADANIA,RS,57,dep.anyortiz@camara.leg.br
73433,Arlindo Chinaglia,PT,SP,57,dep.arlindochinaglia@camara.leg.br
141391,Arnaldo Jardim,CIDADANIA,SP,57,dep.arnaldojardim@camara.leg.br
160541,Arthur Lira,PP,AL,57,dep.arthurlira@camara.leg.br
160600,Arthur Oliveira Maia,UNIÃO,BA,57,dep.arthuroliveiramaia@camara.leg.br
74090,Átila Lins,PSD,AM,57,dep.atilalins@camara.leg.br
123086,Átila Lira,PP,PI,57,dep.atilalira@camara.leg.br
160665,Augusto Coutinho,REPUBLICANOS,PE,57,dep.augustocoutinho@camara.leg.br
220577,Augusto Pupio,MDB,AP,57,dep.augustopuppio@camara.leg.br
220577,Augusto Puppio,MDB,AP,57,dep.augustopuppio@camara.leg.br
160512,Aureo Ribeiro,SOLIDARIEDADE,RJ,57,dep.aureoribeiro@camara.leg.br
69871,Bacelar,PV,BA,57,dep.bacelar@camara.leg.br
178975,Baleia Rossi,MDB,SP,57,dep.baleiarossi@camara.leg.br
220605,Bandeira de Mello,PSB,RJ,57,dep.bandeirademello@camara.leg.br
220612,Bebeto,PTB,RJ,57,dep.bebeto@camara.leg.br
220612,Bebeto,PP,RJ,57,dep.bebeto@camara.leg.br
73701,Benedita da Silva,PT,RJ,57,dep.beneditadasilva@camara.leg.br
109429,Benes Leocádio,UNIÃO,RN,57,dep.benesleocadio@camara.leg.br
204358,Beto Pereira,PSDB,MS,57,dep.betopereira@camara.leg.br
220698,Beto Preto,PSD,PR,57,
220683,Beto Richa,PSDB,PR,57,dep.betoricha@camara.leg.br
204374,Bia Kicis,PL,DF,57,dep.biakicis@camara.leg.br
204388,Bibo Nunes,PL,RS,57,dep.bibonunes@camara.leg.br
160538,Bohn Gass,PT,RS,57,dep.bohngass@camara.leg.br
74052,Bosco Costa,PL,SE,57,
210989,Bruno Farias,AVANTE,MG,57,dep.brunofarias@camara.leg.br
220635,Bruno Ganem,PODE,SP,57,dep.brunoganem@camara.leg.br
220574,Cabo Gilberto Silva,PL,PB,57,dep.cabogilbertosilva@camara.leg.br
143942,Caio Vianna,PSD,RJ,57,dep.caiovianna@camara.leg.br
220548,Camila Jara,PT,MS,57,dep.camilajara@camara.leg.br
204572,Capitão Alberto Neto,PL,AM,57,dep.capitaoalbertoneto@camara.leg.br
220690,Capitão Alden,PL,BA,57,dep.capitaoalden@camara.leg.br
178829,Capitão Augusto,PL,SP,57,dep.capitaoaugusto@camara.leg.br
229069,Capitão Samuel,PP,SE,57,
229106,Carla Ayres,PT,SC,57,
213762,Carla Dickson,UNIÃO,RN,57,dep.carladickson@camara.leg.br
204507,Carla Zambelli,PL,SP,57,dep.carlazambelli@camara.leg.br
204361,Carlos Chiodini,MDB,SC,57,
178962,Carlos Gomes,REPUBLICANOS,RS,57,
178993,Carlos Henrique Gaguim,UNIÃO,TO,57,dep.carloshenriquegaguim@camara.leg.br
204460,Carlos Jordy,PL,RJ,57,dep.carlosjordy@camara.leg.br
74262,Carlos Sampaio,PSDB,SP,57,dep.carlossampaio@camara.leg.br
74262,Carlos Sampaio,PSD,SP,57,dep.carlossampaio@camara.leg.br
204426,Carlos Veras,PT,PE,57,dep.carlosveras@camara.leg.br
141398,Carlos Zarattini,PT,SP,57,dep.carloszarattini@camara.leg.br
164360,Carmen Zanotto,CIDADANIA,SC,57,
220704,Carol Dartora,PT,PR,57,dep.caroldartora@camara.leg.br
204369,Caroline de Toni,PL,SC,57,dep.carolinedetoni@camara.leg.br
220699,Castro Neto,PSD,PI,57,dep.castroneto@camara.leg.br
206018,Célia Xakriabá,PSOL,MG,57,dep.celiaxakriaba@camara.leg.br
178876,Célio Silveira,MDB,GO,57,dep.celiosilveira@camara.leg.br
204488,Célio Studart,PSD,CE,57,dep.celiostudart@camara.leg.br
73441,Celso Russomanno,REPUBLICANOS,SP,57,dep.celsorussomanno@camara.leg.br
204496,Celso Sabino,UNIÃO,PA,57,
204504,Cezinha de Madureira,PSD,SP,57,dep.cezinhademadureira@camara.leg.br
205476,Charles Fernandes,PSD,BA,57,dep.charlesfernandes@camara.leg.br
74171,Chico Alencar,PSOL,RJ,57,dep.chicoalencar@camara.leg.br
204476,Chiquinho Brazão,UNIÃO,RJ,57,
204476,Chiquinho Brazão,S.PART.,RJ,57,
204462,Chris Tonietto,PL,RJ,57,dep.christonietto@camara.leg.br
220665,Clarissa Tércio,PP,PE,57,dep.clarissatercio@camara.leg.br
74537,Claudio Cajado,PP,BA,57,dep.claudiocajado@camara.leg.br
141408,Cleber Verde,REPUBLICANOS,MA,57,dep.cleberverde@camara.leg.br
141408,Cleber Verde,MDB,MA,57,dep.cleberverde@camara.leg.br
88256,Clodoaldo Magalhães,PV,PE,57,dep.clodoaldomagalhaes@camara.leg.br
98148,Cobalchini,MDB,SC,57,dep.cobalchini@camara.leg.br
204376,Coronel Armando,PL,SC,57,dep.coronelarmando@camara.leg.br
220594,Coronel Assis,UNIÃO,MT,57,dep.coronelassis@camara.leg.br
204378,Coronel Chrisóstomo,PL,RO,57,dep.coronelchrisostomo@camara.leg.br
220595,Coronel Fernanda,PL,MT,57,dep.coronelfernanda@camara.leg.br
220666,Coronel Meira,PL,PE,57,dep.coronelmeira@camara.leg.br
222142,Coronel Telhada,PP,SP,57,
220590,Coronel Ulysses,UNIÃO,AC,57,dep.coronelulysses@camara.leg.br
178963,Covatti Filho,PP,RS,57,dep.covattifilho@camara.leg.br
220608,Cristiane Lopes,UNIÃO,RO,57,dep.cristianelopes@camara.leg.br
204355,Da Vitoria,PP,ES,57,dep.davitoria@camara.leg.br
141411,Dagoberto Nogueira,PSDB,MS,57,dep.dagobertonogueira@camara.leg.br
220555,Daiana Santos,PCdoB,RS,57,dep.daianasantos@camara.leg.br
220692,Dal Barreto,UNIÃO,BA,57,dep.dalbarreto@camara.leg.br
74467,Damião Feliciano,UNIÃO,PB,57,dep.damiaofeliciano@camara.leg.br
220629,Dandara,PT,MG,57,dep.dandara@camara.leg.br
220603,Dani Cunha,UNIÃO,RJ,57,dep.danicunha@camara.leg.br
220571,Daniel Agrobom,PL,GO,57,dep.danielagrobom@camara.leg.br
74060,Daniel Almeida,PCdoB,BA,57,dep.danielalmeida@camara.leg.br
220582,Daniel Barbosa,PP,AL,57,dep.danielbarbosa@camara.leg.br
204367,Daniel Freitas,PL,SC,57,dep.danielfreitas@camara.leg.br
228941,Daniel José,PODE,SP,57,
220614,Daniel Soranz,PSD,RJ,57,
204409,Daniel Trzeciak,PSDB,RS,57,dep.danieltrzeciak@camara.leg.br
204459,Daniela do Waguinho,UNIÃO,RJ,57,dep.danieladowaguinho@camara.leg.br
220557,Daniela Reinehr,PL,SC,57,dep.danielareinehr@camara.leg.br
62881,Danilo Forte,UNIÃO,CE,57,dep.daniloforte@camara.leg.br
160552,Danrlei de Deus Hinterholz,PSD,RS,57,dep.danrleidedeushinterholz@camara.leg.br
116379,Darci de Matos,PSD,SC,57,
204511,David Soares,UNIÃO,SP,57,dep.davidsoares@camara.leg.br
220659,Dayany Bittencourt,UNIÃO,CE,57,dep.dayanybittencourt@camara.leg.br
220659,Dayany do Capitão,UNIÃO,CE,57,dep.dayanybittencourt@camara.leg.br
220539,Defensor Stélio Dener,REPUBLICANOS,RR,57,dep.defensorsteliodener@camara.leg.br
220565,Delegada Adriana Accorsi,PT,GO,57,dep.delegadaadrianaaccorsi@camara.leg.br
220625,Delegada Ione,AVANTE,MG,57,dep.delegadaione@camara.leg.br
220561,Delegada Katarina,PSD,SE,57,dep.delegadakatarina@camara.leg.br
220642,Delegado Bruno Lima,PP,SP,57,dep.delegadobrunolima@camara.leg.br
220673,Delegado Caveira,PL,PA,57,dep.delegadocaveira@camara.leg.br
220649,Delegado da Cunha,PP,SP,57,dep.delegadodacunha@camara.leg.br
178908,Delegado Éder Mauro,PL,PA,57,dep.delegadoedermauro@camara.leg.br
220583,Delegado Fabio Costa,PP,AL,57,dep.delegadofabiocosta@camara.leg.br
204512,Delegado Marcelo Freitas,UNIÃO,MG,57,dep.delegadomarcelofreitas@camara.leg.br
220701,Delegado Matheus Laiola,UNIÃO,PR,57,dep.delegadomatheuslaiola@camara.leg.br
220652,Delegado Palumbo,MDB,SP,57,dep.delegadopalumbo@camara.leg.br
220654,Delegado Paulo Bilynskyj,PL,SP,57,dep.delegadopaulobilynskyj@camara.leg.br
220619,Delegado Ramagem,PL,RJ,57,dep.delegadoramagem@camara.leg.br
228272,Délio Pinheiro,PDT,MG,57,
220705,Deltan Dallagnol,PODE,PR,57,
220553,Denise Pessôa,PT,RS,57,dep.denisepessoa@camara.leg.br
220689,Detinha,PL,MA,57,dep.detinha@camara.leg.br
160588,Diego Andrade,PSD,MG,57,dep.diegoandrade@camara.leg.br
