orientacaoVoto,codTipoLideranca,siglaPartidoBloco,codPartidoBloco,id_votacao
Sim,B,Maioria,,2345493-35
Sim,B,Fdr PSOL-REDE,,2345493-35
Sim,B,Bl UniPpFdrPsdbCid...,,2345493-35
Não,P,PL,37906.0,2345493-35
Sim,B,Fdr PT-PCdoB-PV,,2345493-35
Sim,B,Governo,,2345493-35
Sim,B,Bl MdbPsdRepPodePsc,,2345493-35
Não,B,Oposição,,2345493-35
Não,P,NOVO,37901.0,2345493-35
Não,B,Minoria,,2345493-35
Sim,B,Governo,,2345493-41
Sim,B,Maioria,,2345493-41
Não,P,PL,37906.0,2345493-41
Não,P,NOVO,37901.0,2345493-41
Sim,B,Bl UniPpFdrPsdbCid...,,2345493-41
Não,B,Oposição,,2345493-41
Não,B,Minoria,,2345493-41
Sim,B,Bl MdbPsdRepPodePsc,,2345493-41
Sim,B,Fdr PT-PCdoB-PV,,2345493-41
Sim,B,Fdr PSOL-REDE,,2345493-41
Não,B,Minoria,,2345493-44
Não,P,NOVO,37901.0,2345493-44
Sim,B,Maioria,,2345493-44
Sim,B,Fdr PT-PCdoB-PV,,2345493-44
Sim,B,Governo,,2345493-44
Sim,B,Bl MdbPsdRepPodePsc,,2345493-44
Não,B,Oposição,,2345493-44
Sim,B,Fdr PSOL-REDE,,2345493-44
Sim,B,Bl UniPpFdrPsdbCid...,,2345493-44
Não,P,PL,37906.0,2345493-44
,B,Maioria,,2345493-50
Não,B,Bl UniPpFdrPsdbCid...,,2345493-50
Sim,P,NOVO,37901.0,2345493-50
Não,B,Governo,,2345493-50
Não,B,Fdr PT-PCdoB-PV,,2345493-50
Sim,B,Minoria,,2345493-50
Liberado,B,Bl MdbPsdRepPodePsc,,2345493-50
Não,B,Fdr PSOL-REDE,,2345493-50
Sim,B,Oposição,,2345493-50
Sim,P,PL,37906.0,2345493-50
Sim,B,Bl UniPpFdrPsdbCid...,,2345493-47
Não,B,Minoria,,2345493-47
Sim,B,Bl MdbPsdRepPodePsc,,2345493-47
Sim,B,Governo,,2345493-47
Sim,B,Maioria,,2345493-47
