codTema,tema,relevancia,id_proposicao
34,Administração Pública,0,2345485
52,Previdência e Assistência Social,0,2074843
56,Saúde,0,2074843
57,Defesa e Segurança,0,1198010
72,Homenagens e Datas Comemorativas,0,618609
34,Administração Pública,0,2345493
34,Administração Pública,0,2115253
37,Comunicações,0,2115253
43,Direito Penal e Processual Penal,0,1197773
34,Administração Pública,0,2345495
56,Saúde,0,2345495
44,Direitos Humanos e Minorias,0,2345494
52,Previdência e Assistência Social,0,2345494
54,"Energia, Recursos Hídricos e Minerais",0,2345496
70,Finanças Públicas e Orçamento,0,2345496
34,Administração Pública,0,2345557
40,Economia,0,2345557
70,Finanças Públicas e Orçamento,0,2345557
40,Economia,0,2345498
70,Finanças Públicas e Orçamento,0,2345498
57,Defesa e Segurança,0,2345508
68,Direito Constitucional,0,2345508
74,"Política, Partidos e Eleições",0,2345554
53,Processo Legislativo e Atuação Parlamentar,0,2345554
34,Administração Pública,0,2345555
40,Economia,0,2345555
40,Economia,0,2345556
70,Finanças Públicas e Orçamento,0,2345556
37,Comunicações,0,2345626
46,Educação,0,2345626
43,Direito Penal e Processual Penal,0,2345627
44,Direitos Humanos e Minorias,0,2345627
66,"Indústria, Comércio e Serviços",0,2345627
57,Defesa e Segurança,0,2345630
44,Direitos Humanos e Minorias,0,2345630
44,Direitos Humanos e Minorias,0,2345628
57,Defesa e Segurança,0,2345631
34,Administração Pública,0,2345632
54,"Energia, Recursos Hídricos e Minerais",0,2345632
57,Defesa e Segurança,0,2345637
48,Meio Ambiente e Desenvolvimento Sustentável,0,2345637
70,Finanças Públicas e Orçamento,0,2345633
48,Meio Ambiente e Desenvolvimento Sustentável,0,2345633
48,Meio Ambiente e Desenvolvimento Sustentável,0,2345639
56,Saúde,0,2345639
70,Finanças Públicas e Orçamento,0,2345638
48,Meio Ambiente e Desenvolvimento Sustentável,0,2345638
37,Comunicações,0,2345641
46,Educação,0,2345641
43,Direito Penal e Processual Penal,0,2345646
44,Direitos Humanos e Minorias,0,2345646
43,Direito Penal e Processual Penal,0,2345625
44,Direitos Humanos e Minorias,0,2345625
66,"Indústria, Comércio e Serviços",0,2345625
44,Direitos Humanos e Minorias,0,2345650
70,Finanças Públicas e Orçamento,0,2345650
43,Direito Penal e Processual Penal,0,2345643
44,Direitos Humanos e Minorias,0,2345643
66,"Indústria, Comércio e Serviços",0,2345643
34,Administração Pública,0,2345629
70,Finanças Públicas e Orçamento,0,2345629
55,Relações Internacionais e Comércio Exterior,0,2345629
34,Administração Pública,0,2345647
37,Comunicações,0,2345634
53,Processo Legislativo e Atuação Parlamentar,0,2345651
