id_votacao,data,data_hora_registro,sigla_orgao,descricao_proposicao,descricao,aprovacao,id_proposicao
2345493-64,2023-05-31,2023-06-01T00:26:58,PLEN,,"Aprovada a Redação Final assinada pelo Relator, Dep. Isnaldo Bulhões Jr. (MDB-AL).",1.0,2345493
2345493-62,2023-05-31,2023-06-01T00:26:24,PLEN,,"Aprovadas as Emenda de Redação nºs 2, 3, 4, 5 e 6.",1.0,2345493
2345493-52,2023-05-31,2023-06-01T00:15:40,PLEN,,Suprimido o texto.,,2345493
2345493-50,2023-05-31,2023-06-01T00:14:11,PLEN,,Rejeitada a Emenda de Comissão nº 14. Sim: 182; não: ; 243; abstenção: 2; total: 427.,0.0,2345493
2345493-47,2023-05-31,2023-05-31T23:56:17,PLEN,,Mantido o texto. Sim: 260; não: 186; abstenção: 2; total: 448.,,2345493
2345493-44,2023-05-31,2023-05-31T23:37:29,PLEN,,Mantido o texto. Sim: 324; não:  114; abstenção: 1; total: 439.,,2345493
2345493-41,2023-05-31,2023-05-31T23:07:18,PLEN,,"Aprovada a Medida Provisória nº 1.154 de 2023, na forma do Projeto de Lei de Conversão, ressalvados os destaques. Sim: 337; não: 125; abstenção: 1; total: 463.",1.0,2345493
2345493-39,2023-05-31,2023-05-31T22:50:33,PLEN,,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",1.0,2345493
2345493-38,2023-05-31,2023-05-31T22:49:54,PLEN,,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião pelo atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN. Sim: 319; não: 111; abstenção: 1; total: 431.",1.0,2345493
2345493-35,2023-05-31,2023-05-31T22:41:38,PLEN,,Aprovado o Requerimento. Sim: 324; não: 114; abstenção: 1; total: 439.,1.0,2345493
2345493-31,2023-05-31,2023-05-31T21:49:22,PLEN,,Rejeitado o Requerimento. Sim: 130; não: 337; abstenção: 1; total: 468.,0.0,2345493
2345493-9,2023-05-24,2023-05-24T20:21:46,CN,,Aprovado o Parecer,1.0,2345493
1198010-130,2024-12-05,2024-12-05T10:31:53,CCJC,,Aprovado o Parecer.,1.0,1198010
1198010-117,2024-08-14,2024-08-14T11:00:37,CFT,,Aprovado o Parecer.,1.0,1198010
1198010-99,2023-08-01,2023-08-01T17:02:19,CSPCCO,,"Aprovado o Parecer, contra o voto da Deputada Duda Salabert.",1.0,1198010
1198010-76,2018-04-17,2018-04-17T15:36:13,CCJC,,Aprovada a Redação Final.,1.0,1198010
1198010-61,2017-12-12,2017-12-12T13:04:30,CCJC,,Aprovado o Parecer.,1.0,1198010
1198010-49,2016-11-23,2016-11-23T11:08:31,CFT,,Aprovado por Unanimidade o Parecer.,1.0,1198010
1198010-33,2015-09-09,2015-09-09T15:57:11,CSPCCO,,Aprovado o Parecer com Complementação de Voto.,1.0,1198010
2115253-183,2023-11-08,2023-11-08T21:53:12,PLEN,,"Aprovada a Redação Final assinada pelo relator, Dep. Vicentinho Júnior (PP-TO). Sim: 286; não: 112; total: 398.",1.0,2115253
2115253-179,2023-11-08,2023-11-08T21:33:07,PLEN,,Mantido o texto. Sim: 268; não: 124; total: 392.,,2115253
2115253-175,2023-11-08,2023-11-08T21:16:00,PLEN,,"Aprovado o Substitutivo do Senado Federal ao Projeto de Lei nº 6.385-C, de 2016, ressalvados os destaques. Sim: 296; não: 121; abstenção: 2; total: 419.",1.0,2115253
2115253-172,2023-11-08,2023-11-08T20:35:37,PLEN,,Rejeitado o Requerimento.Sim: 49; não: 288; abstenção: 2; total: 339.,0.0,2115253
2115253-167,2023-11-08,2023-11-08T20:04:08,PLEN,,Rejeitado o Requerimento. Sim: 120; não: 269; total: 389.,0.0,2115253
2115253-156,2023-11-08,2023-11-08T19:37:36,PLEN,,Rejeitado o Requerimento. Sim: 104; não: 274; total: 378.,0.0,2115253
2115253-123,2023-05-17,2023-05-17T20:50:00,PLEN,,"Aprovada a Redação Final assinada pelo relator, Dep. Dorinaldo Malafaia (PDT-AP).",1.0,2115253
2115253-121,2023-05-17,2023-05-17T20:48:58,PLEN,,Aprovada a Emenda de Redação oferecida pelo relator da Comissão de Constituição e Justiça e de Cidadania.,1.0,2115253
2115253-118,2023-05-17,2023-05-17T20:45:20,PLEN,,"Aprovado o Substitutivo ao Projeto de Lei nº 6.385, de 2016, da Comissão de Ciência e Tecnologia, Comunicação e Informática. Sim: 217; não: 180; total: 397.",1.0,2115253
2115253-116,2023-05-17,2023-05-17T20:36:35,PLEN,,Rejeitado o Requerimento. Sim: 173; não: 221; total: 394.,0.0,2115253
2115253-111,2023-05-17,2023-05-17T19:34:59,PLEN,,Rejeitado o Requerimento. Sim: 187; não: 232; total: 419.,0.0,2115253
2115253-104,2023-05-17,2023-05-17T19:09:01,PLEN,,Rejeitado o Requerimento. Sim: 184; não: 213; total: 397.,0.0,2115253
2115253-93,2023-05-16,2023-05-16T19:27:12,SECAP(SGM),,"Realizar o encaminhamento do PL-6385/2016 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0,2115253
2359287-7,2023-05-16,2023-05-16T19:27:10,PLEN,REQ 1364/2023,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 274; não: 157; abstenção: 1; total: 432.,1.0,2115253
2115253-86,2022-11-30,2022-11-30T11:31:32,CFT,,"Aprovado o Requerimento de Adiamento de Discussão, do Dep. Mauro Benevides. Contra o voto do Dep. Paulo Ganime.",1.0,2115253
2115253-67,2019-10-16,2019-10-16T12:05:28,CTRAB,,"Aprovado o Parecer por votação nominal, contra os votos dos Deputados Maurício Dziedricki, Silvio Costa Filho, Carla Zambelli, Daniel Silveira, Tiago Mitraud, Adriana Ventura, Guilherme Derrite, Kim Kataguiri e Sanderson.",1.0,2115253
2115253-32,2018-06-06,2018-06-06T12:06:27,CCTI,,Aprovado por Unanimidade o Parecer.,1.0,2115253
2074843-165,2024-12-04,2024-12-04T22:28:35,PLEN,,"Aprovada a Redação Final assinada pelo Relator, Dep. Lula da Fonte (PP-PE).",1.0,2074843
2074843-163,2024-12-04,2024-12-04T22:27:13,PLEN,,"Aprovadas as Emendas do Senado Federal ao Projeto de Lei nº 3.974, de 2015.",1.0,2074843
2074843-113,2023-12-12,2023-12-12T21:25:05,PLEN,,"Aprovada a Redação Final assinada pelo relator, Dep. Lula da Fonte (PP-PE).",1.0,2074843
2074843-110,2023-12-12,2023-12-12T21:24:18,PLEN,,"Aprovado o Substitutivo ao Projeto de Lei nº 3.974, de 2015, adotado pelo relator da Comissão de Finanças e Tributação.",1.0,2074843
2074843-97,2023-09-19,2023-09-19T18:37:08,SECAP(SGM),,"Realizar o encaminhamento do PL-3974/2015 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0,2074843
2379387-8,2023-09-19,2023-09-19T18:37:06,PLEN,REQ 2545/2023,Aprovado o Requerimento de Urgência (Art. 155 do RICD).,1.0,2074843
2074843-85,2023-06-14,2023-06-14T15:02:44,CPASF,,Aprovado o Parecer.,1.0,2074843
1197773-157,2025-04-08,2025-04-08T18:31:57,PLEN,,Aprovada a Emenda do Senado Federal nº 7.,1.0,1197773
1197773-156,2025-04-08,2025-04-08T18:31:37,PLEN,,Aprovada a Emenda do Senado Federal nº 2.,1.0,1197773
1197773-154,2025-04-08,2025-04-08T18:31:06,PLEN,,"Aprovada a Redação Final assinada pelo relator, Rubens Pereira Júnior (PT/MA).",1.0,1197773
1197773-150,2025-04-08,2025-04-08T18:29:48,PLEN,,Aprovada a Emenda do Senado Federal nº 1.,1.0,1197773
1197773-140,2024-12-04,2024-12-04T21:17:40,PLEN,,"Rejeitadas as Emendas do Senado Federal ao Projeto de Lei nº 996, de 2015, ressalvados os destaques. Sim: 23; Não: 404; Abstenção: 1; Total: 428.",0.0,1197773
1197773-104,2023-08-09,2023-08-09T19:51:01,PLEN,,"Aprovada a Redação Final assinada pelo Relator, Dep. Rubens Pereira Júnior (PT-MA).",1.0,1197773
