id_proposicao,uri,nome,codTipo,tipo,ordemAssinatura,proponente
593065,https://dadosabertos.camara.leg.br/api/v2/deputados/73584,Antonio Carlos Mendes Thame,10000,Deputado(a),1,1
2236235,https://dadosabertos.camara.leg.br/api/v2/orgaos/253,Poder Executivo,30000,Órgão do Poder Executivo,1,1
2236222,https://dadosabertos.camara.leg.br/api/v2/deputados/204429,João H. Campos,10000,Deputado(a),1,1
2236218,https://dadosabertos.camara.leg.br/api/v2/orgaos/102223,Associação Nacional de Fibromiálgicos e Doenças Correlacionadas,70000,Sociedade Civil,1,1
2181447,https://dadosabertos.camara.leg.br/api/v2/deputados/164360,Carmen Zanotto,10000,Deputado(a),1,1
2077498,https://dadosabertos.camara.leg.br/api/v2/deputados/141383,Antonio Bulhões,10000,Deputado(a),1,1
2236217,https://dadosabertos.camara.leg.br/api/v2/orgaos/102150,Sindicato Nacional dos Trabalhadores em Fundações Públicas Federais da Geografia e Estatística,70000,Sociedade Civil,1,1
2236241,https://dadosabertos.camara.leg.br/api/v2/orgaos/253,Poder Executivo,30000,Órgão do Poder Executivo,1,1
2236223,https://dadosabertos.camara.leg.br/api/v2/orgaos/253,Poder Executivo,30000,Órgão do Poder Executivo,1,1
2116186,https://dadosabertos.camara.leg.br/api/v2/deputados/178956,Mariana Carvalho,10000,Deputado(a),1,1
2236243,https://dadosabertos.camara.leg.br/api/v2/deputados/204480,Rogério Correia,10000,Deputado(a),1,1
2236238,https://dadosabertos.camara.leg.br/api/v2/deputados/73531,Ivan Valente,10000,Deputado(a),1,1
2236244,https://dadosabertos.camara.leg.br/api/v2/deputados/204429,João H. Campos,10000,Deputado(a),1,1
2236240,https://dadosabertos.camara.leg.br/api/v2/deputados/204534,Tabata Amaral,10000,Deputado(a),1,1
2236245,https://dadosabertos.camara.leg.br/api/v2/deputados/204429,João H. Campos,10000,Deputado(a),1,1
2236247,https://dadosabertos.camara.leg.br/api/v2/deputados/73531,Ivan Valente,10000,Deputado(a),1,1
2236242,https://dadosabertos.camara.leg.br/api/v2/deputados/204480,Rogério Correia,10000,Deputado(a),1,1
2236262,https://dadosabertos.camara.leg.br/api/v2/orgaos/253,Poder Executivo,30000,Órgão do Poder Executivo,1,1
