id_proposicao,codTema,tema,relevancia
597587,48,Meio Ambiente e Desenvolvimento Sustentável,0
2311331,34,Administração Pública,0
2311331,56,Saúde,0
587207,66,"Indústria, Comércio e Serviços",0
587207,56,Saúde,0
2313777,41,Cidades e Desenvolvimento Urbano,0
2313777,70,Finanças Públicas e Orçamento,0
2313777,48,Meio Ambiente e Desenvolvimento Sustentável,0
2313777,61,"Viação, Transporte e Mobilidade",0
2312047,34,Administração Pública,0
2312047,76,Direito e Justiça,0
493361,43,Direito Penal e Processual Penal,0
303153,58,Trabalho e Emprego,0
996806,56,Saúde,0
2311467,34,Administração Pública,0
2311467,40,Economia,0
2311467,66,"Indústria, Comércio e Serviços",0
2313778,55,Relações Internacionais e Comércio Exterior,0
2053152,35,"Arte, Cultura e Religião",0
2053152,72,Homenagens e Datas Comemorativas,0
2311740,34,Administração Pública,0
2311740,40,Economia,0
2311740,74,"Política, Partidos e Eleições",0
2313776,41,Cidades e Desenvolvimento Urbano,0
2313776,57,Defesa e Segurança,0
2313776,70,Finanças Públicas e Orçamento,0
2313776,48,Meio Ambiente e Desenvolvimento Sustentável,0
2313796,43,Direito Penal e Processual Penal,0
2313796,44,Direitos Humanos e Minorias,0
2313798,57,Defesa e Segurança,0
2313794,34,Administração Pública,0
2313795,35,"Arte, Cultura e Religião",0
2313795,39,Esporte e Lazer,0
2313795,72,Homenagens e Datas Comemorativas,0
2313803,40,Economia,0
2313803,70,Finanças Públicas e Orçamento,0
2313781,52,Previdência e Assistência Social,0
2313781,58,Trabalho e Emprego,0
2313797,64,"Agricultura, Pecuária, Pesca e Extrativismo",0
2313797,70,Finanças Públicas e Orçamento,0
2313793,44,Direitos Humanos e Minorias,0
2313793,46,Educação,0
2313793,70,Finanças Públicas e Orçamento,0
2313808,64,"Agricultura, Pecuária, Pesca e Extrativismo",0
2313808,40,Economia,0
2313792,44,Direitos Humanos e Minorias,0
2313792,48,Meio Ambiente e Desenvolvimento Sustentável,0
2313792,61,"Viação, Transporte e Mobilidade",0
2313800,44,Direitos Humanos e Minorias,0
2313800,56,Saúde,0
2313810,48,Meio Ambiente e Desenvolvimento Sustentável,0
2313804,34,Administração Pública,0
2313804,44,Direitos Humanos e Minorias,0
2313804,70,Finanças Públicas e Orçamento,0
2313801,44,Direitos Humanos e Minorias,0
2313801,56,Saúde,0
2313805,34,Administração Pública,0
2313805,53,Processo Legislativo e Atuação Parlamentar,0
2313811,70,Finanças Públicas e Orçamento,0
2313811,48,Meio Ambiente e Desenvolvimento Sustentável,0
2313807,74,"Política, Partidos e Eleições",0
2313807,56,Saúde,0
2313802,57,Defesa e Segurança,0
2313802,44,Direitos Humanos e Minorias,0
2313799,44,Direitos Humanos e Minorias,0
2313799,56,Saúde,0
2313806,34,Administração Pública,0
2313806,44,Direitos Humanos e Minorias,0
2313806,56,Saúde,0
2313809,44,Direitos Humanos e Minorias,0
2313809,46,Educação,0
2313819,34,Administração Pública,0
2313819,48,Meio Ambiente e Desenvolvimento Sustentável,0
2313812,56,Saúde,0
2313820,48,Meio Ambiente e Desenvolvimento Sustentável,0
2313814,44,Direitos Humanos e Minorias,0
2313814,56,Saúde,0
2313823,67,Direito e Defesa do Consumidor,0
2313823,44,Direitos Humanos e Minorias,0
2313823,66,"Indústria, Comércio e Serviços",0
2313816,48,Meio Ambiente e Desenvolvimento Sustentável,0
2313825,48,Meio Ambiente e Desenvolvimento Sustentável,0
2313817,57,Defesa e Segurança,0
2313817,44,Direitos Humanos e Minorias,0
2313817,66,"Indústria, Comércio e Serviços",0
2313826,48,Meio Ambiente e Desenvolvimento Sustentável,0
2313818,41,Cidades e Desenvolvimento Urbano,0
2313818,57,Defesa e Segurança,0
2313818,70,Finanças Públicas e Orçamento,0
2313818,48,Meio Ambiente e Desenvolvimento Sustentável,0
2313827,44,Direitos Humanos e Minorias,0
2313821,46,Educação,0
2313821,56,Saúde,0
2313828,57,Defesa e Segurança,0
2313838,57,Defesa e Segurança,0
2313838,44,Direitos Humanos e Minorias,0
2313838,39,Esporte e Lazer,0
2313824,34,Administração Pública,0
2313830,34,Administração Pública,0
2313830,43,Direito Penal e Processual Penal,0
2313830,48,Meio Ambiente e Desenvolvimento Sustentável,0
2313829,34,Administração Pública,0
2313829,44,Direitos Humanos e Minorias,0
2313829,56,Saúde,0
2313829,58,Trabalho e Emprego,0
2313839,52,Previdência e Assistência Social,0
2313833,37,Comunicações,0
2313833,44,Direitos Humanos e Minorias,0
2313831,44,Direitos Humanos e Minorias,0
2313841,44,Direitos Humanos e Minorias,0
