id_votacao,data,data_hora_registro,sigla_orgao,proposicaoObjeto,descricao,aprovacao,id_proposicao
587207-118,2023-12-20,2023-12-20T11:51:23,CSAUDE,,Aprovado o Parecer.,1.0,587207
587207-108,2023-11-29,2023-11-29T10:43:13,CAPADR,,Aprovado o Parecer.,1.0,587207
587207-84,2016-10-18,2016-10-18T16:54:22,CCJC,,Aprovada a Redação Final.,1.0,587207
587207-69,2016-08-30,2016-08-30T12:18:12,CCJC,,Aprovado o Parecer.,1.0,587207
587207-52,2015-10-28,2015-10-28T14:09:44,CSAUDE,,Aprovado por Unanimidade o Parecer com Complementação de Voto.,1.0,587207
2053152-111,2022-12-21,2022-12-21T21:20:43,PLEN,,"Aprovada a Redação Final assinada pela Relatora, Dep. Erika Kokay (PT-DF).",1.0,2053152
2053152-109,2022-12-21,2022-12-21T21:20:02,PLEN,,"Aprovada a Emenda do Senado Federal ao Projeto de Lei nº 2.053, de 2022.",1.0,2053152
2344536-8,2022-12-21,2022-12-21T21:08:56,PLEN,REQ 1653/2022,Aprovado o Requerimento de Urgência (Art. 155 do RICD).,1.0,2053152
2053152-92,2022-12-07,2022-12-07T14:58:47,CCULT,,Aprovado o Parecer.,1.0,2053152
2053152-69,2018-06-12,2018-06-12T15:27:35,CCJC,,Aprovada a Redação Final.,1.0,2053152
2053152-54,2018-05-09,2018-05-09T12:59:50,CCJC,,"Aprovado o Parecer, contra os votos dos Deputados Fábio Sousa, João Campos e Marcos Rogério.",1.0,2053152
2053152-24,2016-08-09,2016-08-09T11:00:38,CCULT,,Aprovado por Unanimidade o Parecer.,1.0,2053152
597587-57,2014-06-04,2014-06-04T22:15:30,PLEN,,"Aprovada a Redação Final assinada pelo Relator, Dep. Fabio Trad (PMDB-MS).",1.0,597587
597587-56,2014-06-04,2014-06-04T22:14:58,PLEN,,"Rejeitada a Emenda de Plenário nº 1, com pareceres divergentes.",0.0,597587
597587-55,2014-06-04,2014-06-04T22:13:58,PLEN,,Aprovado o Substitutivo oferecido pelo Relator da Comissão de Meio Ambiente e Desenvolvimento Sustentável ao Projeto de Lei nº 6.602 de 2013.,1.0,597587
597587-33,2014-04-29,2014-04-29T17:01:45,PLEN,,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD) n. 9544/2014, dos Deputados Ricardo Izar (PSD-SP); Eduardo Cunha, Líder do PMDB; Beto Albuquerque, Líder do PSB; Fernando Francischini, Líder do SDD; Arnaldo Jordy, na qualidade de Líder do PPS; Antonio Imbassahy, Líder do PSDB; César Halum, na qualidade de Líder do PRB; Vicentinho, Líder do PT; Moreira Mendes, Líder do PSD; e Jandira Feghali, Líder do PCdoB, que: ""Requer nos termos do art. 155 do Regimento da Câmara dos Deputados, urgência para apreciação do Projeto de Lei nº 6.602/2013, do Deputado Ricardo Izar, que altera a redação dos arts. 14, 17 e 18 da Lei nº 11.794, de 8 de outubro de 2008, para dispor sobre a vedação da utilização de animais em atividades de ensino, pesquisas e testes laboratoriais com substâncias para o desenvolvimento de produtos de uso cosmético em humanos e aumentar os valores de multa nos casos de violação de seus dispositivos"".",1.0,597587
597587-32,2014-04-29,2014-04-29T17:01:45,PLEN,,Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 9544/2014 => PL 6602/2013.,1.0,597587
606433-6,2014-04-29,2014-04-29T17:01:42,PLEN,REQ 9544/2014,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",1.0,597587
303153-195,2024-12-11,2024-12-11T16:40:44,CCJC,,Aprovado o Parecer.,1.0,303153
303153-175,2024-03-20,2024-03-20T11:01:26,CTRAB,,Aprovado o Parecer.,1.0,303153
303153-153,2022-10-19,2022-10-19T10:10:22,CSAUDE,,Aprovado o Parecer.,1.0,303153
303153-151,2022-10-19,2022-10-19T09:46:29,CSAUDE,,"Rejeitada a retirada de pauta, apresentada pelo Deputado Marreca Filho.",0.0,303153
303153-129,2015-09-29,2015-09-29T15:16:54,CCJC,,Aprovada a Redação Final.,1.0,303153
303153-114,2015-09-01,2015-09-01T15:15:05,CCJC,,Aprovado o Parecer.,1.0,303153
303153-66,2009-12-16,2009-12-16T11:17:17,CTRAB,,Aprovado por Unanimidade o Parecer.,1.0,303153
303153-35,2007-08-15,2007-08-15T11:12:41,CSAUDE,,Aprovado por Unanimidade o Parecer,1.0,303153
493361-86,2024-03-20,2024-03-20T18:57:15,PLEN,,"Aprovada a Redação Final assinada pelo Relator, Deputado Guilherme Derrite (PL/SP).",1.0,493361
493361-84,2024-03-20,2024-03-20T18:47:34,PLEN,,"Aprovadas as Emendas do Senado Federal nºs 1, 2 e 3 ao Projeto de Lei nº 583, de 2011.",1.0,493361
493361-81,2024-03-20,2024-03-20T18:46:56,PLEN,,Aprovado o Requerimento.,1.0,493361
493361-59,2024-02-29,2024-02-29T15:32:19,SECAP(SGM),,"Realizar o encaminhamento do PL-2253/2022 (Nº Anterior: PL 583/2011) à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0,493361
493361-58,2024-02-29,2024-02-29T15:32:19,SECAP(SGM),,"Realizar o encaminhamento do PL-2253/2022 (Nº Anterior: PL 583/2011) à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0,493361
493361-35,2013-06-12,2013-06-12T14:56:34,CSPCCO,,Aprovado o Parecer.,1.0,493361
510520-2,2011-07-06,2011-07-06T16:35:58,CSPCCO,REQ 71/2011 CSPCCO,Aprovado.,1.0,493361
2311467-24,2022-06-29,2022-06-29T10:42:44,CFFC,,Aprovado o Relatório Prévio.,1.0,2311467
2311331-24,2022-05-25,2022-05-25T11:11:35,CFFC,,Aprovado o Relatório Prévio.,1.0,2311331
2311740-24,2022-05-25,2022-05-25T11:16:35,CFFC,,"Aprovado o Relatório Prévio, com voto contrário do Deputado Paulo Marinho Jr.",1.0,2311740
2313778-42,2022-05-19,2022-05-19T15:59:27,PLEN,,"Aprovada a Redação Final assinada pelo Relator, Dep. Darci de Matos (PSD-SC).",1.0,2313778
2313778-40,2022-05-19,2022-05-19T15:58:47,PLEN,,Rejeitadas as Emendas de Comissão e de Plenário com parecer pela rejeição.,0.0,2313778
2313778-38,2022-05-19,2022-05-19T15:57:40,PLEN,,"Aprovada a Medida Provisória nº 1.098, de 2022.",1.0,2313778
2313778-36,2022-05-19,2022-05-19T15:57:01,PLEN,,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista de Planos, Orçamentos Públicos e Fiscalização, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",1.0,2313778
2313778-35,2022-05-19,2022-05-19T15:56:26,PLEN,,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista de Planos, Orçamentos Públicos e Fiscalização, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",1.0,2313778
996806-69,2018-10-17,2018-10-17T11:01:40,CCJC,,Aprovada a Redação Final.,1.0,996806
996806-54,2018-06-06,2018-06-06T13:17:28,CCJC,,Aprovado o Parecer.,1.0,996806
996806-37,2017-05-03,2017-05-03T11:22:05,CSAUDE,,"Aprovado o Parecer contra o voto do Deputado Adelmo Carneiro Leão, apresentou voto em separado o Deputado Marcus Pestana.",1.0,996806
2313777-39,2022-05-18,2022-05-18T21:22:41,PLEN,,"Aprovada a Redação Final assinada pelo Relator, Dep. Fred Costa (Patriotas-MG).",1.0,2313777
