id_votacao,id_deputado,tipoVoto,dataRegistroVoto
2345493-50,220666,1.0,2023-06-01T00:12:10
2345493-50,178896,0.0,2023-06-01T00:12:09
2345493-50,220689,1.0,2023-06-01T00:12:05
2345493-50,178954,1.0,2023-06-01T00:11:55
2345493-50,204563,1.0,2023-06-01T00:11:54
2345493-50,204391,0.0,2023-06-01T00:11:33
2345493-50,74646,0.0,2023-06-01T00:11:28
2345493-50,204379,1.0,2023-06-01T00:11:27
2345493-50,210989,1.0,2023-06-01T00:11:27
2345493-50,220661,1.0,2023-06-01T00:11:25
2345493-50,178966,1.0,2023-06-01T00:11:21
2345493-50,136811,1.0,2023-06-01T00:11:19
2345493-50,133810,1.0,2023-06-01T00:11:16
2345493-50,123756,1.0,2023-06-01T00:11:11
2345493-50,178843,1.0,2023-06-01T00:11:10
2345493-50,178975,0.0,2023-06-01T00:11:06
2345493-50,74044,1.0,2023-06-01T00:11:03
2345493-50,160598,0.0,2023-06-01T00:11:01
2345493-50,220556,0.0,2023-06-01T00:10:57
2345493-50,220527,0.0,2023-06-01T00:10:56
2345493-50,98148,1.0,2023-06-01T00:10:54
2345493-50,220622,1.0,2023-06-01T00:10:52
2345493-50,220656,0.0,2023-06-01T00:10:50
2345493-50,220538,1.0,2023-06-01T00:10:47
2345493-50,74317,0.0,2023-06-01T00:10:45
2345493-50,220658,1.0,2023-06-01T00:10:45
2345493-50,74696,0.0,2023-06-01T00:10:44
2345493-50,138286,0.0,2023-06-01T00:10:43
2345493-50,204431,0.0,2023-06-01T00:10:34
2345493-50,220640,0.0,2023-06-01T00:10:34
2345493-50,220627,0.0,2023-06-01T00:10:32
2345493-50,220663,0.0,2023-06-01T00:10:30
2345493-50,74428,0.0,2023-06-01T00:10:29
2345493-50,205550,1.0,2023-06-01T00:10:29
2345493-50,74171,0.0,2023-06-01T00:10:26
2345493-50,204535,0.0,2023-06-01T00:10:25
2345493-50,204504,1.0,2023-06-01T00:10:24
2345493-50,220603,1.0,2023-06-01T00:10:22
2345493-50,220657,1.0,2023-06-01T00:10:21
2345493-50,220639,0.0,2023-06-01T00:10:20
2345493-50,160610,0.0,2023-06-01T00:10:18
2345493-50,204518,1.0,2023-06-01T00:10:14
2345493-50,205865,1.0,2023-06-01T00:10:14
2345493-50,157130,0.0,2023-06-01T00:10:13
2345493-50,141470,0.0,2023-06-01T00:10:12
2345493-50,204423,1.0,2023-06-01T00:10:12
2345493-50,160538,0.0,2023-06-01T00:10:11
2345493-50,220599,1.0,2023-06-01T00:10:10
2345493-50,220572,0.0,2023-06-01T00:10:09
2345493-50,204355,0.0,2023-06-01T00:10:01
2345493-50,178876,0.0,2023-06-01T00:09:58
2345493-50,220672,0.0,2023-06-01T00:09:57
2345493-50,220625,1.0,2023-06-01T00:09:56
2345493-50,204356,1.0,2023-06-01T00:09:54
2345493-50,74848,0.0,2023-06-01T00:09:51
2345493-50,92776,0.0,2023-06-01T00:09:50
2345493-50,204409,0.0,2023-06-01T00:09:50
2345493-50,225727,0.0,2023-06-01T00:09:49
2345493-50,220670,0.0,2023-06-01T00:09:48
2345493-50,220587,1.0,2023-06-01T00:09:46
2345493-50,74270,1.0,2023-06-01T00:09:44
2345493-50,92102,0.0,2023-06-01T00:09:44
2345493-50,220649,0.0,2023-06-01T00:09:44
2345493-50,188097,0.0,2023-06-01T00:09:42
2345493-50,220674,0.0,2023-06-01T00:09:42
2345493-50,160674,1.0,2023-06-01T00:09:38
2345493-50,178934,0.0,2023-06-01T00:09:38
2345493-50,220606,0.0,2023-06-01T00:09:37
2345493-50,220577,0.0,2023-06-01T00:09:36
2345493-50,74454,Abstenção,2023-06-01T00:09:34
2345493-50,220651,0.0,2023-06-01T00:09:34
2345493-50,222142,1.0,2023-06-01T00:09:34
2345493-50,153423,0.0,2023-06-01T00:09:33
2345493-50,220532,1.0,2023-06-01T00:09:31
2345493-50,220700,0.0,2023-06-01T00:09:29
2345493-50,225730,0.0,2023-06-01T00:09:28
2345493-50,104552,0.0,2023-06-01T00:09:26
2345493-50,141459,1.0,2023-06-01T00:09:25
2345493-50,178962,1.0,2023-06-01T00:09:24
2345493-50,204362,1.0,2023-06-01T00:09:24
2345493-50,178987,0.0,2023-06-01T00:09:23
2345493-50,220583,1.0,2023-06-01T00:09:22
2345493-50,73768,1.0,2023-06-01T00:09:21
2345493-50,220676,0.0,2023-06-01T00:09:21
2345493-50,220555,0.0,2023-06-01T00:09:18
2345493-50,220675,0.0,2023-06-01T00:09:17
2345493-50,74299,0.0,2023-06-01T00:09:16
2345493-50,74398,0.0,2023-06-01T00:09:16
2345493-50,152605,0.0,2023-06-01T00:09:16
2345493-50,204559,0.0,2023-06-01T00:09:15
2345493-50,74467,0.0,2023-06-01T00:09:14
2345493-50,204482,0.0,2023-06-01T00:09:14
2345493-50,204553,1.0,2023-06-01T00:09:14
2345493-50,220705,1.0,2023-06-01T00:09:12
2345493-50,143942,0.0,2023-06-01T00:09:09
2345493-50,198783,0.0,2023-06-01T00:09:07
2345493-50,204441,1.0,2023-06-01T00:09:07
2345493-50,220590,1.0,2023-06-01T00:09:07
